Session_ID,Retrained from:,LR (1e-),Patience,EarlyStop Patience,Epochs,Best epoch,batch_size,img_size,Rotation,V_Flip,Contrast,Gaussian Noise,Speckle Noise,Frame Stacking,BG,MOD Loss,Train,Val No BG,Test No BG,Time
training_session_20240918_231538,,7.041671283892393e-05,10,25,80,18,16,350x350,False,True,True,False,True,False,True,False,0.8351939854279063,0.8174003958702087,,3380.725501060486
training_session_20240918_231617,,7.041671283892393e-05,10,25,80,43,16,350x350,False,True,True,True,True,False,True,False,0.8816577468822205,0.8307814002037048,,5378.130560398102
training_session_20240919_001259,,1e-05,10,50,50,47,16,350x350,False,True,True,False,True,False,False,False,0.8835999587782069,0.7414886951446533,,2897.9898352622986
training_session_20240918_231745,,7.041671283892393e-05,10,25,80,75,16,350x350,True,True,True,True,True,False,True,False,0.8856779212266012,0.8216859102249146,,7388.472239732742
training_session_20240919_004621,,1e-05,10,50,50,48,16,350x350,False,True,True,False,True,False,False,False,0.9037453041357153,0.7764286398887634,,2887.1571719646454
training_session_20240919_224935,,1e-05,10,50,50,26,10,350x350,True,True,False,False,False,False,False,False,0.9315497206181896,0.8079084157943726,,2825.418161869049
training_session_20240919_231338,,0.0001,10,20,100,20,10,350x350,True,True,False,False,False,False,False,False,0.8748910210570511,0.8079395890235901,,2185.307139158249
training_session_20240919_231419,,0.0001,10,20,100,28,10,350x350,False,True,False,False,False,False,False,False,0.8930590313308093,0.8160519003868103,,2206.499995946884
training_session_20240919_233601,,0.0001,10,20,100,23,10,350x350,False,False,False,False,False,False,False,False,0.9238787765405616,0.8186922073364258,,2015.2347993850708
training_session_20240920_001120,,0.0001,10,20,100,11,10,350x350,True,False,False,False,False,False,False,False,0.842679081887615,0.7926619648933411,,1762.4571890830994
training_session_20240920_014457,,0.0001,10,20,100,30,10,350x350,False,True,True,False,False,False,False,False,0.8960894073758806,0.8321778178215027,,2543.1325900554657
training_session_20240920_020209,,0.0001,10,20,100,34,10,350x350,False,True,True,False,False,False,False,False,0.9167718247491486,0.8190403580665588,,2677.364867210388
training_session_20240920_035807,,0.0001,10,20,100,13,10,350x350,False,False,True,False,False,False,False,False,0.869978049823216,0.8214101791381836,,1815.103415966034
training_session_20240920_040724,,0.0001,10,20,100,23,10,350x350,False,False,True,False,False,False,False,False,0.907519349030086,0.8144004940986633,,2176.907963514328
training_session_20240920_040924,,0.0001,10,20,100,21,10,350x350,False,True,True,False,False,False,False,False,0.8807650969952953,0.8185736536979675,,2129.9542903900146
training_session_20240920_154633,,0.0001,10,20,100,16,10,350x350,False,True,True,False,False,False,False,False,0.8608745660100664,0.822079598903656,,2067.5851051807404
training_session_20240925_122807,,7.66929861805693e-05,10,20,80,2,16,1276x664,True,True,True,True,True,False,False,False,0.8278608848066891,0.7977198362350464,,8844.632401943207
training_session_20240925_133227,,7.27373103184475e-05,10,20,80,3,16,1276x664,True,True,True,False,True,False,True,False,0.851379731511758,0.7088569402694702,,10402.782077550888
training_session_20240925_133153,,0.00012945685335540217,10,20,80,9,16,1276x664,True,True,True,True,True,True,False,False,0.8745222910189293,0.81259685754776,,20526.970925331116
